0 49
9 25 16
19 43 19
8 11 12
22 47 10
47 49 15
23 31 1
24 39 1
27 28 16
47 48 5
23 24 17
20 21 13
46 49 7
21 49 9
6 34 6
30 42 16
11 14 20
28 43 8
32 41 7
23 37 19
23 37 12
41 43 1
28 47 14
21 44 10
19 43 20
17 48 20
25 32 17
22 27 2
32 48 3
8 29 8
21 46 4
0 5 7
5 20 11
28 31 8
28 33 14
38 40 5
19 49 17
23 38 8
35 43 2
12 43 19
30 33 12
3 49 6
43 48 12
28 46 5
16 26 19
43 49 11
32 48 4
17 47 19
26 41 13
5 29 16
28 48 16
34 44 1
8 29 9
15 21 13
26 43 13
0 33 13
26 27 2
29 31 6
3 8 8
27 48 15
18 43 8
8 30 2
35 42 2
39 45 16
36 49 13
12 39 14
41 42 12
23 26 12
46 49 14
24 46 10
28 29 11
41 49 2
21 45 6
16 25 3
29 41 7
8 24 3
22 32 17
16 33 18
48 49 11
30 44 12
47 49 6
28 34 13
17 33 15
13 31 1
8 17 18
16 20 9
32 40 2
1 45 7
29 45 19
31 48 15
37 43 7
43 46 17
6 16 8
19 42 18
0 1 16
1 3 15
3 6 3
6 9 1
9 12 7
12 13 18
13 15 5
15 18 14
18 19 10
19 22 4
22 23 13
23 35 7
35 36 9
